Full_Name,Age,Gender,Marital_Status,Number_of_Dependents,Employment_Type,Employment_Experience,Monthly_Income,Annual_Income,Credit_Score,Loan_Amount,Loan_Purpose,Loan_Term,Interest_Rate,Existing_Loans,Loan_Default
Applicant_1,59,Female,Married,1,Unemployed,0,5000.0,60000.0,496,200000,Personal,240,17.94,1,1
Applicant_2,49,Female,Married,0,Salaried,8,46000.0,552000.0,687,500000,Personal,24,7.93,1,0
Applicant_3,35,Male,Single,1,Salaried,10,49500.0,594000.0,684,300000,Education,48,12.67,2,0
Applicant_4,63,Male,Married,1,Self-Employed,36,114900.0,1378800.0,772,250000,Home,240,8.46,2,0
Applicant_5,28,Female,Married,3,Unemployed,0,5000.0,60000.0,619,250000,Business,48,11.55,5,1
Applicant_6,41,Male,Single,1,Salaried,12,40800.0,489600.0,651,300000,Personal,180,17.17,1,0
Applicant_7,59,Male,Married,1,Salaried,17,87400.0,1048800.0,585,150000,Personal,120,15.63,2,0
Applicant_8,39,Male,Single,4,Salaried,14,41600.0,499200.0,709,400000,Education,48,15.49,0,0
Applicant_9,43,Male,Single,2,Freelancer,19,46900.0,562800.0,571,50000,Business,48,10.57,3,0
Applicant_10,31,Male,Single,1,Freelancer,11,22700.0,272400.0,560,250000,Business,12,17.24,3,1
Applicant_11,31,Male,Married,1,Salaried,3,49100.0,589200.0,643,300000,Personal,12,10.74,2,0
Applicant_12,44,Male,Single,3,Salaried,4,50800.0,609600.0,527,100000,Vehicle,24,6.96,0,0
Applicant_13,56,Male,Divorced,1,Self-Employed,36,135700.0,1628400.0,810,100000,Home,60,13.83,5,0
Applicant_14,60,Female,Married,1,Salaried,32,117700.0,1412400.0,842,750000,Business,180,10.67,4,0
Applicant_15,44,Female,Married,2,Self-Employed,17,90600.0,1087200.0,604,100000,Personal,36,8.27,1,0
Applicant_16,23,Female,Single,0,Salaried,2,48300.0,579600.0,511,150000,Home,36,17.25,2,0
Applicant_17,42,Male,Married,3,Self-Employed,18,56300.0,675600.0,683,50000,Home,48,13.83,4,0
Applicant_18,22,Male,Married,1,Freelancer,1,28900.0,346800.0,601,750000,Education,24,17.32,1,1
Applicant_19,44,Female,Married,2,Self-Employed,21,85900.0,1030800.0,767,50000,Vehicle,36,13.2,2,0
Applicant_20,64,Female,Married,2,Salaried,40,130600.0,1567200.0,571,200000,Business,36,7.23,2,0
Applicant_21,50,Male,Divorced,0,Freelancer,0,17900.0,214800.0,704,400000,Personal,36,6.84,2,1
Applicant_22,58,Male,Married,3,Salaried,24,95300.0,1143600.0,661,100000,Home,36,16.86,2,0
Applicant_23,22,Female,Married,4,Freelancer,3,17000.0,204000.0,582,500000,Vehicle,180,6.95,1,1
Applicant_24,41,Male,Single,1,Salaried,2,28400.0,340800.0,674,500000,Education,180,13.57,1,1
Applicant_25,53,Male,Married,4,Freelancer,5,18300.0,219600.0,737,150000,Personal,120,9.93,4,0
Applicant_26,32,Female,Married,0,Salaried,5,50400.0,604800.0,658,200000,Business,36,14.41,3,0
Applicant_27,42,Male,Married,3,Salaried,17,56300.0,675600.0,659,400000,Home,120,9.77,3,0
Applicant_28,64,Male,Married,1,Salaried,36,105600.0,1267200.0,562,250000,Personal,120,6.93,1,0
Applicant_29,45,Male,Married,1,Unemployed,0,18500.0,222000.0,764,250000,Home,24,14.9,3,1
Applicant_30,47,Female,Married,0,Unemployed,0,5000.0,60000.0,754,100000,Home,36,10.08,1,1
